,ASN,AS_rank_numberAsns,AS_rank_numberPrefixes,AS_rank_numberAddresses,AS_rank_total,AS_rank_customer,AS_rank_peer,AS_rank_provider,peeringDB_ix_count,peeringDB_fac_count,AS_hegemony,cti_top,cti_origin,AS_rank_continent_Africa,AS_rank_continent_Asia,AS_rank_continent_Europe,AS_rank_continent_None,AS_rank_continent_North America,AS_rank_continent_Oceania,AS_rank_continent_South America,peeringDB_info_ratio_Balanced,peeringDB_info_ratio_Heavy Inbound,peeringDB_info_ratio_Heavy Outbound,peeringDB_info_ratio_Mostly Inbound,peeringDB_info_ratio_Mostly Outbound,peeringDB_info_ratio_None,peeringDB_info_ratio_Not Disclosed,peeringDB_info_scope_Africa,peeringDB_info_scope_Asia Pacific,peeringDB_info_scope_Australia,peeringDB_info_scope_Europe,peeringDB_info_scope_Global,peeringDB_info_scope_Middle East,peeringDB_info_scope_None,peeringDB_info_scope_North America,peeringDB_info_scope_Not Disclosed,peeringDB_info_scope_Regional,peeringDB_info_scope_South America,peeringDB_info_type_Cable/DSL/ISP,peeringDB_info_type_Content,peeringDB_info_type_Educational/Research,peeringDB_info_type_Enterprise,peeringDB_info_type_Government,peeringDB_info_type_NSP,peeringDB_info_type_Network Services,peeringDB_info_type_Non-Profit,peeringDB_info_type_None,peeringDB_info_type_Not Disclosed,peeringDB_info_type_Route Collector,peeringDB_info_type_Route Server,peeringDB_policy_general_No,peeringDB_policy_general_None,peeringDB_policy_general_Open,peeringDB_policy_general_Restrictive,peeringDB_policy_general_Selective,"ASDB_C1L1_Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",ASDB_C1L1_Community Groups and Nonprofits,ASDB_C1L1_Computer and Information Technology,ASDB_C1L1_Construction and Real Estate,ASDB_C1L1_Education and Research,ASDB_C1L1_Finance and Insurance,"ASDB_C1L1_Freight, Shipment, and Postal Services",ASDB_C1L1_Government and Public Administration,ASDB_C1L1_Health Care Services,ASDB_C1L1_Manufacturing,"ASDB_C1L1_Media, Publishing, and Broadcasting","ASDB_C1L1_Museums, Libraries, and Entertainment",ASDB_C1L1_None,ASDB_C1L1_Other,"ASDB_C1L1_Retail Stores, Wholesale, and E-commerce Sites",ASDB_C1L1_Service,ASDB_C1L1_Travel and Accommodation,ASDB_C1L1_Utilities (Excluding Internet Service)
25882,27742,0.1593163118999516,0.3859650804323956,0.5023876917716403,0.2512618110396803,0.2502396851370587,0.0,0.1415209988221526,0.0,0.0,3.2106465079655655e-05,0.0630291529382324,0.3790596980139075,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25889,27750,0.3476036348227644,0.5260310332260245,0.6539087738220487,0.3154020429805729,0.2502396851370587,0.2007591090082382,0.3286015831816775,0.0,0.1653268997685129,0.0001260615859567,8.341327105142429e-05,0.0302045667346406,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25932,27796,0.1488868019171182,0.4250481291302977,0.5256896539508156,0.2616622120763312,0.2216177390455688,0.0,0.3286015831816775,0.122325271059113,0.0,1.4682721482153885e-05,0.0015014388789256,0.075888201807988,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25936,27800,0.0401365005315499,0.3133724620138923,0.4738943029430362,0.1198823505463869,0.0789418314386617,0.0,0.1415209988221526,0.0,0.0,2.575744948477553e-05,0.001219919089127,0.2987862696439242,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25949,27814,0.0,0.195320522022628,0.4451160367810444,0.151274683775598,0.0,0.0776642248977423,0.2243054761977148,0.193880967519245,0.0,2.2538040906425464e-05,0.0002919464486799,0.028588791785462,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25950,27817,0.1488868019171182,0.4815026655658111,0.6116069952630928,0.2798914240962284,0.2368254943159852,0.1553284497954846,0.2243054761977148,0.122325271059113,0.1653268997685129,1.6504326822453452e-05,0.0002606664720357,0.0121199638215041,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25954,27822,0.0401365005315499,0.2979222106075584,0.4987798924818608,0.3596470516391609,0.0789418314386617,0.3238539931187342,0.4486109523954297,0.244650542118226,0.2086193202593617,4.386830538441496e-05,0.0087166868248738,0.1267412651739508,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25968,27837,0.0401365005315499,0.2992321823917405,0.4459555754070951,0.1756244691518812,0.0789418314386617,0.0,0.2830419976443053,0.0,0.1653268997685129,2.145646963079817e-05,1.0426658881428036e-05,0.0158128493228032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25970,27839,0.1240094906945902,0.3778985489211519,0.5406102103241767,0.2512618110396803,0.1832972562792912,0.0776642248977423,0.3286015831816775,0.122325271059113,0.1043096601296808,0.0001578839932135,0.0087688201192809,0.4294844753242537,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25973,27843,0.2500188229458849,0.5294657819317661,0.6053186340959847,0.346794376209784,0.3411809191566147,0.0,0.3286015831816775,0.0,0.1653268997685129,0.0001956849634976,0.0013763189723485,0.2678532603142712,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25975,27845,0.0401365005315499,0.258781677267035,0.4613947125620881,0.1756244691518812,0.0789418314386617,0.0,0.2830419976443053,0.0,0.1043096601296808,3.139435980109894e-05,0.0010322392292613,0.0250728613820861,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26005,27882,0.2058414025620549,0.448271510423986,0.5542327954800018,0.3213019456489204,0.3005595704842305,0.0,0.3658264750198675,0.122325271059113,0.0,0.0001056186973412,1.0426658881428036e-05,0.3109648200084385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26007,27884,0.2058414025620549,0.5535121855089388,0.669101581596949,0.302549367551196,0.2830035054458528,0.1230948841104959,0.2243054761977148,0.122325271059113,0.0,9.795634631724566e-05,0.0256078742127872,0.4495636646742544,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26024,27901,0.0401365005315499,0.3898819453533483,0.5123849951584916,0.2397647010927739,0.0789418314386617,0.0776642248977423,0.3972996726178786,0.122325271059113,0.1043096601296808,9.86028154110642e-05,8.341327105142429e-05,0.1041017026996864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26045,27923,0.0401365005315499,0.1326107587513574,0.4459555754070951,0.1198823505463869,0.0789418314386617,0.0,0.1415209988221526,0.0,0.0,2.2537362435315668e-05,0.0019185052341827,0.2556798034974827,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
