node_id,feat
57777,"409, 409"
58057,"698, 698"
58299,"597, 597"
58308,"123, 123"
58453,"609, 609"
58511,"2981, 2981"
58952,"448, 448"
59414,"102, 102"
59605,"1315, 1315"
59890,"1530, 1530"
59891,"75, 75"
60171,"188, 188"
60501,"1323, 1323"
61218,"70, 70"
61292,"70, 70"
61438,"6, 6"
61568,"4035, 4035"
61955,"2218, 2218"
62167,"429, 429"
62513,"171, 171"
63920,"502, 502"
63927,"2296, 2296"
63956,"597, 597"
64475,"395, 395"
131477,"121, 121"
132337,"687, 687"
135069,"87, 87"
135895,"330, 330"
136557,"499, 499"
137409,"2277, 2277"
139589,"15, 15"
140627,"765, 765"
140984,"572, 572"
196621,"74, 74"
198385,"476, 476"
198507,"183, 183"
199524,"2849, 2849"
199938,"345, 345"
201054,"394, 394"
202032,"348, 348"
202365,"320, 320"
204708,"134, 134"
205112,"396, 396"
205206,"151, 151"
206313,"426, 426"
206356,"338, 338"
206499,"26, 26"
207044,"287, 287"
207740,"1627, 1627"
209102,"435, 435"
209650,"136, 136"
209833,"109, 109"
210312,"407, 407"
210937,"396, 396"
211323,"111, 111"
213151,"375, 375"
267613,"2401, 2401"
327983,"474, 474"
328266,"380, 380"
328512,"440, 440"
328832,"881, 881"
396998,"724, 724"
397131,"132, 132"
398465,"1047, 1047"
46,"8, 8"
11094,"2, 2"
55,"5, 5"
46274,"2, 2"
57,"32, 32"
217,"1, 1"
675,"1, 1"
1998,"4, 4"
6263,"3, 3"
7896,"9, 9"
7973,"3, 3"
11317,"13, 13"
12042,"48, 48"
14763,"3, 3"
15336,"2, 2"
16851,"25, 25"
17234,"2, 2"
18454,"3, 3"
20125,"2, 2"
21727,"3, 3"
21951,"2, 2"
26557,"2, 2"
30220,"2, 2"
32907,"2, 2"
33189,"12, 12"
33455,"2, 2"
33692,"3, 3"
40387,"26, 26"
40497,"2, 2"
59,"3, 3"
62,"123, 123"
19,"3, 3"
125,"3, 3"
286,"368, 368"
