node_id,feat,label
1,"1.0,0.0","4.721468361790849e-06"
7843,"1.0,0.0","0.0644708662806708"
11537,"1.0,0.0","0.0"
37157,"1.0,0.0","4.82928035043193e-06"
50377,"1.0,0.0","6.036667050148864e-06"
51728,"1.0,0.0","1.4187652889504313e-05"
264914,"1.0,0.0","1.6095800634412923e-06"
271424,"1.0,0.0","1.6095800634412923e-06"
7046,"1.0,0.0","0.0009122695226547"
12345,"1.0,0.0","1.3280987248450422e-05"
29132,"1.0,0.0","1.5293255485994652e-05"
48940,"1.0,0.0","4.158860597391543e-05"
52698,"1.0,0.0","3.2194404254176364e-06"
267344,"1.0,0.0","3.2194223798653763e-06"
268042,"1.0,0.0","4.532697244601251e-06"
269006,"1.0,0.0","1.6095892161039969e-06"
270350,"1.0,0.0","1.6095511834018111e-06"
271650,"1.0,0.0","0.0"
286,"1.0,0.0","7.305823202427313e-06"
600,"1.0,0.0","0.0040852349306073"
701,"1.0,0.0","0.1285340769586288"
812,"1.0,0.0","0.0094998266826609"
852,"1.0,0.0","0.0128461421657331"
1273,"1.0,0.0","0.0486083463824326"
1280,"1.0,0.0","3.798134311478643e-05"
1299,"1.0,0.0","0.4747707465699577"
2152,"1.0,0.0","0.0284619760535058"
2381,"1.0,0.0","0.0068189489437086"
2516,"1.0,0.0","0.0374833539337568"
2906,"1.0,0.0","0.0002473537254706"
3257,"1.0,0.0","0.1241602354906053"
3292,"1.0,0.0","0.0097237307678692"
3300,"1.0,0.0","0.0003863416931409"
3356,"1.0,0.0","0.9999999999999998"
3491,"1.0,0.0","0.0395490589449187"
4134,"1.0,0.0","0.2293753887871846"
4766,"1.0,0.0","0.0788428334105209"
5645,"1.0,0.0","0.0011630594437979"
6128,"1.0,0.0","0.0088724060779098"
6453,"1.0,0.0","0.0903566481986797"
6461,"1.0,0.0","0.0886823082256273"
6830,"1.0,0.0","0.0433826181387185"
6919,"1.0,0.0","0.0"
6939,"1.0,0.0","0.2289006117894706"
7018,"1.0,0.0","0.213453165509716"
7029,"1.0,0.0","0.0237537994367865"
7270,"1.0,0.0","0.0003875706792688"
7473,"1.0,0.0","0.0155555128646704"
7738,"1.0,0.0","0.0210537123415256"
3456,"1.0,0.0","0.0002237687352324"
4544,"1.0,0.0","0.0001750632920986"
7224,"1.0,0.0","3.742852776041614e-05"
7922,"1.0,0.0","0.1156692228658954"
8220,"1.0,0.0","0.0073775411266047"
9304,"1.0,0.0","0.0033827898089591"
10796,"1.0,0.0","0.0126103646193067"
10934,"1.0,0.0","5.634204816909902e-06"
11096,"1.0,0.0","0.0017117554395741"
11164,"1.0,0.0","0.0075727443457259"
11351,"1.0,0.0","0.0083959948399071"
11426,"1.0,0.0","0.0075837307593261"
11427,"1.0,0.0","0.0087048745652786"
12271,"1.0,0.0","0.0047485829830063"
12322,"1.0,0.0","0.0186961074016071"
12956,"1.0,0.0","0.0867934211551748"
14135,"1.0,0.0","0.0001654380585646"
14907,"1.0,0.0","5.477543315972014e-06"
15113,"1.0,0.0","4.0243227176819774e-06"
16787,"1.0,0.0","0.0001368352334012"
19108,"1.0,0.0","0.0045995634409182"
19151,"1.0,0.0","0.0003555540581359"
19397,"1.0,0.0","0.0002511372172197"
20001,"1.0,0.0","0.0112065731610318"
20940,"1.0,0.0","0.0187365281873874"
21808,"1.0,0.0","3.789348043923084e-05"
21859,"1.0,0.0","0.001571086997967"
21928,"1.0,0.0","0.0207970165880356"
22870,"1.0,0.0","8.046613838341188e-07"
23274,"1.0,0.0","4.024339305550294e-06"
23367,"1.0,0.0","9.375216389370854e-06"
23746,"1.0,0.0","8.046613838341188e-07"
25885,"1.0,0.0","9.256354523079653e-06"
26660,"1.0,0.0","8.046580180421937e-07"
30081,"1.0,0.0","1.6101901561754302e-05"
33363,"1.0,0.0","0.0098449740677151"
33588,"1.0,0.0","0.0013126077674496"
36329,"1.0,0.0","1.0866157676714791e-05"
36351,"1.0,0.0","0.0071831236428347"
40160,"1.0,0.0","0.0018411781130084"
40294,"1.0,0.0","5.473414621076538e-05"
47009,"1.0,0.0","4.021974676991794e-07"
52320,"1.0,0.0","0.0236702244436971"
60068,"1.0,0.0","0.0007197166528294"
62566,"1.0,0.0","9.658827149299666e-06"
199524,"1.0,0.0","0.0002784929061938"
262287,"1.0,0.0","0.000244919350832"
395120,"1.0,0.0","8.046613838341188e-07"
20115,"1.0,0.0","0.0224137774613385"
24,"1.0,0.0","0.0001030334385221"
46,"1.0,0.0","0.000207874500708"
55,"1.0,0.0","0.0004130302230024"
59,"1.0,0.0","0.000517969306839"
160,"1.0,0.0","0.0001807060318961"
210,"1.0,0.0","0.0037897413813452"
297,"1.0,0.0","0.0044776463650185"
513,"1.0,0.0","0.000628182134218"
557,"1.0,0.0","0.0006456205449014"
668,"1.0,0.0","0.0063005620521638"
1103,"1.0,0.0","0.0129479367268849"
1224,"1.0,0.0","0.0001034326631047"
1916,"1.0,0.0","0.0039329788217252"
2018,"1.0,0.0","0.0027469618764947"
2495,"1.0,0.0","0.0007010897656794"
2534,"1.0,0.0","1.6095692180113362e-06"
2698,"1.0,0.0","0.0005998701827689"
3676,"1.0,0.0","0.0002065081528395"
3807,"1.0,0.0","0.000133999381659"
3851,"1.0,0.0","0.0002579780250577"
3999,"1.0,0.0","0.0006974697002129"
